A black-and-white dog carries a stick in his mouth as he swims in the clear water.,A black-and-white dog carries a stick in his mouth as he swims in the unclear water.
A dog is fetching a stick out of very clear water.,A dog is fetching a stick out of very unclear water.
A dog is fetching a stick out of very clear water in the back yard.,A dog is fetching a stick out of very unclear water in the back yard.
A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.,A woman is handling meat from a unclear glass meat cage while standing before a wooden counter with a large metal bowl on it.
"Three children stand near a clear lake and some canoes, while a fourth child sits in a kayak holding a paddle, dressed in red.","Three children stand near a unclear lake and some canoes, while a fourth child sits in a kayak holding a paddle, dressed in red."
The bike is comfortable to ride on,The bike is uncomfortable to ride on
"A kid playing a Cricket game, possibly at preschool or at the park","A kid playing a Cricket game, impossibly at preschool or at the park"
The conductor of a train is seated comfortable while a man in a carriage steps off the train.,The conductor of a train is seated uncomfortable while a man in a carriage steps off the train.
The blond singer is a well known country music star and her fans lover her shows.,The blond singer is a well unknown country music star and her fans lover her shows.
"Tennis player uses backhand in a match, possibly a doubles match.","Tennis player uses backhand in a match, impossibly a doubles match."
The pool is clear,The pool is unclear
The man is traveling and decided to take a break.,The man is traveling and undecided to take a break.
"Two young men similarly attired walk leisurely through a farmer's market shortly before 2 o'clock in the afternoon, drinking a beverage, possibly tea.","Two young men similarly attired walk leisurely through a farmer's market shortly before 2 o'clock in the afternoon, drinking a beverage, impossibly tea."
It is a clear day to go swimming.,It is a unclear day to go swimming.
A white man hugging a black man possibly giving condolences.,A white man hugging a black man impossibly giving condolences.
A child having a pleasant time in a swing,A child having a unpleasant time in a swing
Two boys are shoveling snow to clear the driveway.,Two boys are shoveling snow to unclear the driveway.
A photographer has decided to never take another photo.,A photographer has undecided to never take another photo.
Some birds are flying in the clear sky.,Some birds are flying in the unclear sky.
"A young woman apparently dressed for the evening has decided to ride a bike to the event, even while wearing high heels.","A young woman apparently dressed for the evening has undecided to ride a bike to the event, even while wearing high heels."
"An older man with a graying beard, possibly a homeless person, sleeps on the grass in front of an ancient tree in a public park.","An older man with a graying beard, impossibly a homeless person, sleeps on the grass in front of an ancient tree in a public park."
A bald headed man in business casual attire is amused by something occurring off-screen- likely a comedic performance.,A bald headed man in business casual attire is amused by something occurring off-screen- unlikely a comedic performance.
"A man chiseling a sculpture, possibly out of stone.","A man chiseling a sculpture, impossibly out of stone."
The man is comfortable in the chair.,The man is uncomfortable in the chair.
the group is a competitive frisbee team,the group is a uncompetitive frisbee team
"Some friends, possibly lab partners, are performing an experiment in a chemistry class using beakers.","Some friends, impossibly lab partners, are performing an experiment in a chemistry class using beakers."
"It's a beautiful blue, clear day outside.","It's a beautiful blue, unclear day outside."
Two blond boys play with Legos from a clear plastic bin with a sofa in the background.,Two blond boys play with Legos from a unclear plastic bin with a sofa in the background.
Two people crossing paths in the ocean while parasailing during a clear blue day.,Two people crossing paths in the ocean while parasailing during a unclear blue day.
Two people parasailing cross paths on a clear day,Two people parasailing cross paths on a unclear day
The music at the concert is pleasant,The music at the concert is unpleasant
Man watching the blue clear sky,Man watching the blue unclear sky
The hiker is looking at the clear blue water,The hiker is looking at the unclear blue water
People are working to clear debris from the road.,People are working to unclear debris from the road.
Dogs get competitive over a Frisbee.,Dogs get uncompetitive over a Frisbee.
The father and mother decided to take their kid to have a beach picnic.,The father and mother undecided to take their kid to have a beach picnic.
Many people have photographed a possible UFO.,Many people have photographed a impossible UFO.
"Bearded man in fleece jacket smiles for a picture, the background is clear","Bearded man in fleece jacket smiles for a picture, the background is unclear"
A man is operating a snow plow to clear his driveway.,A man is operating a snow plow to unclear his driveway.
The man surfs on clear waves near a beach.,The man surfs on unclear waves near a beach.
"A man in black fisherman pants is pointing a blade, known as a Kris, at his chest.","A man in black fisherman pants is pointing a blade, unknown as a Kris, at his chest."
Snow on a hill on a clear day.,Snow on a hill on a unclear day.
The horse cannot clear the hurdle.,The horse cannot unclear the hurdle.
"A family of three vacationing in the states, decided to go to a market.","A family of three vacationing in the states, undecided to go to a market."
A person is using exersize equipment while enjoying pleasant sounds.,A person is using exersize equipment while enjoying unpleasant sounds.
A black women prefers to wear comfortable clothing.,A black women prefers to wear uncomfortable clothing.
Two smiling bikers dressed in competitive gear.,Two smiling bikers dressed in uncompetitive gear.
"Two boys were playing ball, possibly baseball, on a parking lot.","Two boys were playing ball, impossibly baseball, on a parking lot."
Billy decided to wear his white shirt with his new glasses for his guitar recital.,Billy undecided to wear his white shirt with his new glasses for his guitar recital.
The group is well known,The group is well unknown
man balancing clear ball on the back of hand,man balancing unclear ball on the back of hand
This is a 49ers game being viewed from the home side most likely during half time due to the American flag on the field.,This is a 49ers game being viewed from the home side most unlikely during half time due to the American flag on the field.
A person in the distance is windsurfing on a day with a clear blue sky.,A person in the distance is windsurfing on a day with a unclear blue sky.
A smiling man selling treats in a clear bucket.,A smiling man selling treats in a unclear bucket.
couple in black possibly about to kiss on street.,couple in black impossibly about to kiss on street.
Six people are trying to capture a certain type of art,Six people are trying to capture a uncertain type of art
"A person is wearing a team uniform in blue and gold, seated on what is likely ice, with a goalie stick before him and the brand ""Reebok"" prominently displayed on uniform parts.","A person is wearing a team uniform in blue and gold, seated on what is unlikely ice, with a goalie stick before him and the brand ""Reebok"" prominently displayed on uniform parts."
Two people have known each other a long time.,Two people have unknown each other a long time.
The man is known as the pretzel man.,The man is unknown as the pretzel man.
A musical band are by their instruments most likely playing a song.,A musical band are by their instruments most unlikely playing a song.
A person is riding a surfboard has decided to take a nap.,A person is riding a surfboard has undecided to take a nap.
A man is working to clear garbage up from a pond area.,A man is working to unclear garbage up from a pond area.
A competitive eating getting ready to compete.,A uncompetitive eating getting ready to compete.
Bluejeans are sturdy and comfortable when climbing poles.,Bluejeans are sturdy and uncomfortable when climbing poles.
seniors walking on the street in a clear day,seniors walking on the street in a unclear day
The tennis champ has decided to quit playing tennis.,The tennis champ has undecided to quit playing tennis.
A man in a red jacket uses a snow blower to clear the sidewalk.,A man in a red jacket uses a snow blower to unclear the sidewalk.
A person is scuba diving in very clear blue water.,A person is scuba diving in very unclear blue water.
A highly competitive bike race for lots of money is going on.,A highly uncompetitive bike race for lots of money is going on.
They are decided on soda,They are undecided on soda
People decided to go shopping on a rainy day.,People undecided to go shopping on a rainy day.
A young woman decided to stay home and rest.,A young woman undecided to stay home and rest.
The man decided to go to the beach.,The man undecided to go to the beach.
A girl in a yellow T-shirt is jumping in a field on a clear day.,A girl in a yellow T-shirt is jumping in a field on a unclear day.
"A man laying on a seat face down, possibly sleeping.","A man laying on a seat face down, impossibly sleeping."
"A sad man laying on a seat face down, possibly sleeping.","A sad man laying on a seat face down, impossibly sleeping."
"A person laying on a seat face down, possibly sleeping.","A person laying on a seat face down, impossibly sleeping."
"A woman laying on a seat face down, possibly sleeping.","A woman laying on a seat face down, impossibly sleeping."
"An old, possibly homeless man is sitting at a table.","An old, impossibly homeless man is sitting at a table."
"An old, possibly homeless man is sitting at a table waiting to be fed.","An old, impossibly homeless man is sitting at a table waiting to be fed."
A group of children taking a group shot with a clear blue sky behind them.,A group of children taking a group shot with a unclear blue sky behind them.
Two people are playing competitive frisbee.,Two people are playing uncompetitive frisbee.
One person has decided to take a hike in the mountain.,One person has undecided to take a hike in the mountain.
A competitive runner taking her first sprint in a competition.,A uncompetitive runner taking her first sprint in a competition.
The blue clear water had people in it.,The blue unclear water had people in it.
A man is aware of people playing instruments.,A man is unaware of people playing instruments.
the men are competitive,the men are uncompetitive
A man in sandals is sitting beneath a red cliff on a clear day.,A man in sandals is sitting beneath a red cliff on a unclear day.
Two boys playing with a can are aware of the camera equipment behind them.,Two boys playing with a can are unaware of the camera equipment behind them.
A child is outside with his mom helping her clear snow that fell during the last snowstorm.,A child is outside with his mom helping her unclear snow that fell during the last snowstorm.
An instructor is acting out safety protocols and the possible accidents that can occur if eye shields are not worn.,An instructor is acting out safety protocols and the impossible accidents that can occur if eye shields are not worn.
Someone is dropping orange food coloring into a clear drink.,Someone is dropping orange food coloring into a unclear drink.
Blue food coloring is pouring into a clear drink.,Blue food coloring is pouring into a unclear drink.
The young man is getting a haircut by a man he's known for a long time.,The young man is getting a haircut by a man he's unknown for a long time.
A man does an impressive series of back-flips.,A man does an unimpressive series of back-flips.
A convenient store in the middle of nowhere.,A inconvenient store in the middle of nowhere.
Two friends run in a competitive race.,Two friends run in a uncompetitive race.
People are parasailing on a clear day.,People are parasailing on a unclear day.
"A scene from a competitive marathon, including several participants, down a crowd-lined city street.","A scene from a uncompetitive marathon, including several participants, down a crowd-lined city street."
A child in green pants attempts a handstand in a field on a clear blue day.,A child in green pants attempts a handstand in a field on a unclear blue day.
"To the left, a building is clear of foliage.","To the left, a building is unclear of foliage."
The wall outside the boutique is painted green and is clear of graffiti.,The wall outside the boutique is painted green and is unclear of graffiti.
An old man decided to dig a hole in the dirt on a warm summer day,An old man undecided to dig a hole in the dirt on a warm summer day
"Five people sit inside some kind of public transportation, most likely a train.","Five people sit inside some kind of public transportation, most unlikely a train."
"A young man samples and peddles the wares of a fresh produce stall in possibly a ""farmers market"".","A young man samples and peddles the wares of a fresh produce stall in impossibly a ""farmers market""."
Training for competitive climbing.,Training for uncompetitive climbing.
A mule is helping to clear the field for the new construction.,A mule is helping to unclear the field for the new construction.
A man on a bike does a very high jump to clear the obstacle,A man on a bike does a very high jump to unclear the obstacle
