,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
7399,7399,younger men are working to fix a railroad,young men are working to fix a railroad,The old man and younger man are in a band together,The old man and young man are in a band together,neutral,comparative|to-comp,the old man and young man are in a band together,1.0,1
192,192,A woman's lower body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,A woman's low body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,"A male metal worker using a welding tool in his right hand, while holding the mask in his left hand, in a mid-lower or lower class neighborhood.","A male metal worker using a welding tool in his right hand, while holding the mask in his left hand, in a mid-lower or low class neighborhood.",neutral,comparative|to-comp,"a male welding machine in a tool belt, with one male using his right hand in the dirt standing in front of the colored bear while his mask is still on.",0.0001014524997386,0
6934,6934,a man pressures a younger man into performing good,a man pressures a younger man into performing better,A small child on riding toy and a large child on a small bicycle with training wheels.,A small child on riding toy and a larger child on a small bicycle with training wheels.,neutral,comparative|from-comp,a small child on a bike riding toy with larger and adult on bicycles riding on a large wooden chair.,0.1983544145418288,0
4764,4764,A smaller black dog fighting with a larger brown dog in a forest.,A smaller black dog fighting with a large brown dog in a forest.,"A tall man and a shorter man walking and talking, wearing the same sandals.","A tall man and a short man walking and talking, wearing the same sandals.",entailment,comparative|to-comp,"a tall man and a blond man walking and wearing some long, walking boots.",0.3661926362999429,0
1971,1971,Two men having and intense discussion about who is the better football team.,Two men having and intense discussion about who is the good football team.,A woman and a younger child are walking in the woods.,A woman and a young child are walking in the woods.,entailment,comparative|to-comp,a woman and a younger child are walking in the woods.,0.7016879391277372,0
3351,3351,"Four men stand on either side of a podium while three young men holding plaques stand on podium boxes that are labeled 1, 2, and 3.","Four men stand on either side of a podium while three younger men holding plaques stand on podium boxes that are labeled 1, 2, and 3.","In front of a crowd, a man with a beard receives a shaving from a young man.","In front of a crowd, a man with a beard receives a shaving from a younger man.",entailment,comparative|from-comp,"in crowd, a man with a beard emerges from a bench after a man in a red jacket covers his mouth.",0.2784899880299974,0
8495,8495,"A young girl holds a young boy, possibly her brother, surrounded by adults, in a public place.","A young girl holds a younger boy, possibly her brother, surrounded by adults, in a public place.",An older and young women are playing tennis.,An older and younger women are playing tennis.,contradiction,comparative|from-comp,an older and younger women are playing tennis.,1.0,1
8319,8319,The bagel shop is no longer in business.,The bagel shop is no long in business.,A smaller dog is trying to get the stick from the bigger dog,A smaller dog is trying to get the stick from the big dog,entailment,comparative|to-comp,a smaller dog is trying to get the bigger stick from the stick,0.6882335844142387,0
11,11,"A big dog touches his friend, a smaller dog.","A big dog touches his friend, a small dog.","Two rottweiler dogs indoors, the smaller one barking at the larger.","Two rottweiler dogs indoors, the small one barking at the larger.",contradiction,comparative|to-comp,"two large husky dogs, barking at the cook indoors.",0.0002009740479169,0
9250,9250,"A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cooler full of fish.","A bearded man, thumbs on straps of waterproof orange bib overalls, stands in front of a grocery cool full of fish.",A mother is selling her gold heart pendant as she no longer wants it,A mother is selling her gold heart pendant as she no long wants it,neutral,comparative|to-comp,a mother is selling her gold mirror because she is 100 years old,0.366248398130988,0
9042,9042,The cowgirl's horse is smaller than the calf.,The cowgirl's horse is small,The trees are bigger than a foot.,The trees are big,entailment,comparative|to-comp,the trees are big,1.0,1
1400,1400,Two younger people are dancing to the music.,Two young people are dancing to the music.,A man climbs up to get a better view.,A man climbs up to get a good view.,neutral,comparative|to-comp,a man climbs up to see a good thing.,0.5133450480401704,0
2096,2096,An older man observes a younger man's musical talent.,An older man observes a young man's musical talent.,A dark-skinned boy talking to a smaller dark-skinned boy in the middle of a street in a rural area.,A dark-skinned boy talking to a small dark-skinned boy in the middle of a street in a rural area.,neutral,comparative|to-comp,a dark-skinned boy working in a small black-and-white street to a small child in the street.,0.2053459652659637,0
1386,1386,A person is remembering good times when they were younger.,A person is remembering better times when they were younger.,A man is teaching a young man how to play a game.,A man is teaching a younger man how to play a game.,entailment,comparative|from-comp,a man is teaching a younger man how to play a game.,1.0,1
4287,4287,"A man and two children, one pointing at the camera, are holding large translucent plastic bags, filled with small bags of a popcorn like snack.","A man and two children, one pointing at the camera, are holding large translucent plastic bags, filled with smaller bags of a popcorn like snack.",A man on a bucking horse at a rodeo no long has his hat.,A man on a bucking horse at a rodeo no longer has his hat.,neutral,comparative|from-comp,a man on a bucking horse at a rodeo never rides a jackhammer.,0.599941435602712,0
6378,6378,Three people sitting on a couch inside a house dressed warmly and the oldest is covering the two younger kids eyes.,Three people sitting on a couch inside a house dressed warmly and the oldest is covering the two young kids eyes.,construction workers trying to build faster than a fire destroys,construction workers trying to build fast,neutral,comparative|to-comp,construction workers trying to survive a large fire so fast,0.2777619034011791,0
5619,5619,A girl is pointing something to a young boy.,A girl is pointing something to a younger boy.,An older boy with his arm around a young kid under a sequoia tree.,An older boy with his arm around a younger kid under a sequoia tree.,neutral,comparative|from-comp,an older boy with a brother attached around his middle younger brother's hair outside an aquarium.,0.1702602472176709,0
2246,2246,There is a smaller box that we can't see.,There is a small box that we can't see.,Two younger people and an older gentleman are intently observing some sand.,Two young people and an older gentleman are intently observing some sand.,neutral,comparative|to-comp,two young people and an older gentleman are quietly observing some sand.,0.7348889200874658,0
9487,9487,The younger man is sitting in a chair.,The young man is sitting in a chair.,Man dressed for cooler weather blows leaves.,Man dressed for cool weather blows leaves.,entailment,comparative|to-comp,man dressed in rain is gathering for cool air.,2.2679164443904e-07,0
6297,6297,"a man, a woman, and a young girl are moving a device with a conveyor belt","a man, a woman, and a younger girl are moving a device with a conveyor belt",A girl in blue dress sits down by a young boy and points her hands towards the bus direction smiling,A girl in blue dress sits down by a younger boy and points her hands towards the bus direction smiling,neutral,comparative|from-comp,a girl in blue sits down with a younger boy jacket smiling and said the driver looks towards her side,0.2157614635827856,0
8499,8499,The man should be wearing bright colors.,The man should be wearing brighter colors.,The woman can't pull her hair back in a ponytail any long because she donated it to cancer victims last week.,The woman can't pull her hair back in a ponytail any longer because she donated it to cancer victims last week.,contradiction,comparative|from-comp,the woman needed something brailer curls back in her neck to pull her less sister out of that snowball she're pregnant in.,1.0308675254291912e-07,0
6982,6982,An old black police car and a newer police car are outside.,An old black police car and a new police car are outside.,"People travel on the escalator; some are going down to the lower level, while others are going up to the next level.","People travel on the escalator; some are going down to the low level, while others are going up to the next level.",contradiction,comparative|to-comp,"people go on the subway, going down the other way while the capital is more or less on <unk>.",9.779314884333476e-08,0
6809,6809,A large white dog and a smaller brown dog fight.,A large white dog and a small brown dog fight.,The girl is bigger than he is.,The girl is big,neutral,comparative|to-comp,the girl is big and he is wrong.,0.345720784641941,0
4383,4383,A white dog attacks a smaller dog.,A white dog attacks a small dog.,Two younger women and an older man in a red sweatshirt are walking across a crosswalk in San Francisco.,Two young women and an older man in a red sweatshirt are walking across a crosswalk in San Francisco.,neutral,comparative|to-comp,two young women in an orange and black sweatshirt are walking past a grandmother in a crosswalk.,0.0002032313169581,0
4248,4248,A boy and his young brother taking a stroll through a grassy and forested field.,A boy and his younger brother taking a stroll through a grassy and forested field.,A girl and holds her young brother while they wait for their parents.,A girl and holds her younger brother while they wait for their parents.,neutral,comparative|from-comp,a girl and her brother hold each other while they wait for their school.,0.3759663529467017,0
9692,9692,A small black and white dog is followed by a larger dog in a grassy yard.,A small black and white dog is followed by a large dog in a grassy yard.,An older man observes a younger man's musical talent.,An older man observes a young man's musical talent.,entailment,comparative|to-comp,an older man observes a young man's musical talent.,1.0,1
2435,2435,A man is within a large orchestra,A man is within a larger orchestra,A dog holds a small animal in its mouth.,A dog holds a smaller animal in its mouth.,neutral,comparative|from-comp,a dog holds a small animal in its mouth.,0.5969491792019646,0
1955,1955,A man carrying a baby crosses the street on a bike along side a young kid.,A man carrying a baby crosses the street on a bike along side a younger kid.,The boy stacks the tires into a big pile.,The boy stacks the tires into a bigger pile.,neutral,comparative|from-comp,the boy packs the stack up in a dirtier.,1.90708280818284e-07,0
9392,9392,An old black police car and a newer police car are outside.,An old black police car and a new police car are outside.,An older women standing in front of an insurance company speaking to a younger man.,An older women standing in front of an insurance company speaking to a young man.,neutral,comparative|to-comp,an older women standing in front of an advertising company meeting up a man.,0.5184664169856237,0
2897,2897,The marketplace is experiencing a slow,The marketplace is experiencing a slower than usual weekend.,Two elderly women are walking past a young woman on a public path.,Two elderly women are walking past a younger woman on a public path.,contradiction,comparative|from-comp,two older women are walking past a young woman on a public walk-up while some older women are walking away.,0.2924007455652194,0
9979,9979,A woman in a skirt and green t-shirt has her arm draped over the shoulder of a younger woman in a white skirt and orange t-shirt,A woman in a skirt and green t-shirt has her arm draped over the shoulder of a young woman in a white skirt and orange t-shirt,This restaurant is better than restaurants on the west side!,This restaurant is good,neutral,comparative|to-comp,this restaurant is better than restaurants on this avenue,0.0002110534063187,0
