a,b
The parents of the younger male are posing for a picture in front of a water fountain.,The parents of the young male are posing for a picture in front of a water fountain.
The people are trying to get a better view of something.,The people are trying to get a good view of something.
A boy is hugging a smaller boy from behind.,A boy is hugging a small boy from behind.
An elderly woman and another younger woman greeting each other.,An elderly woman and another young woman greeting each other.
An mean elderly woman and another younger woman,An mean elderly woman and another young woman
An elderly alien and another younger alien,An elderly alien and another young alien
An elderly woman and another younger woman,An elderly woman and another young woman
Two girls hold up their younger sister.,Two girls hold up their young sister.
Two girls hold up their younger sister as a sacrifice to the Gods.,Two girls hold up their young sister as a sacrifice to the Gods.
Two girls beat up a younger girl.,Two girls beat up a young girl.
Two small girls are hoisting up a larger girl on their shoulders.,Two small girls are hoisting up a large girl on their shoulders.
The young man is taller than the wall separating the kitchen and the living area.,The young man is tall
A large dog holding a smaller dog.,A large dog holding a small dog.
A small black and brown dog on a leash is jumping on a bigger tri-colored dog on a leash.,A small black and brown dog on a leash is jumping on a big tri-colored dog on a leash.
The larger dog is nipping at a smaller dog.,The larger dog is nipping at a small dog.
A small dog jumps up to play with a larger dog.,A small dog jumps up to play with a large dog.
A small dog is jumping and playing with a larger dog.,A small dog is jumping and playing with a large dog.
A dog holds a smaller animal in its mouth.,A dog holds a small animal in its mouth.
A happy older couple share a dance while a younger dancing woman looks on.,A happy older couple share a dance while a young dancing woman looks on.
"A happy older couple share a dance while a younger dancing woman looks on, smiling.","A happy older couple share a dance while a young dancing woman looks on, smiling."
A small white dogs leaps over the back of a larger dog to chase his toy.,A small white dogs leaps over the back of a large dog to chase his toy.
The men are best friends trying to settle a bet of who is better at swimming.,The men are best friends trying to settle a bet of who is good at swimming.
A brother holding his younger brother outside in cold air.,A brother holding his young brother outside in cold air.
The taller man is trying to block the shorter man.,The taller man is trying to block the short man.
The taller man is breaking up a fight between two other people.,The tall man is breaking up a fight between two other people.
Two people are in a room standing because they have nothing better to do.,Two people are in a room standing because they have nothing good to do.
A big tri-colored and a smaller puppy with light blue eyes are playing together.,A big tri-colored and a small puppy with light blue eyes are playing together.
"Women and a younger child riding on a carousal, both are wearing blue coats.","Women and a young child riding on a carousal, both are wearing blue coats."
The two men are higher than the building.,The two men are high
the dog is carrying a branch that is bigger than him,the dog is carrying a branch that is big
A larger man in a leaf-printed shirt is working with his remote controlled airplane.,A large man in a leaf-printed shirt is working with his remote controlled airplane.
An older man sits on the rocks and looks on as the younger man investigates what is in the water.,An older man sits on the rocks and looks on as the young man investigates what is in the water.
An older man is sitting on a rock with a younger man.,An older man is sitting on a rock with a young man.
An older man provides supervision as a younger man searches for crawdads.,An older man provides supervision as a young man searches for crawdads.
a man is in black shit thinking white would be better and also wondering about the person who wrote the photo caption,a man is in black shit thinking white would be good and also wondering about the person who wrote the photo caption
The mall is no longer opened.,The mall is no long opened.
a younger man working,a young man working
The older woman is the mother of the younger woman looking at the map.,The older woman is the mother of the young woman looking at the map.
A bald man holds his daughter up on his shoulders so she can get a better look at the concert.,A bald man holds his daughter up on his shoulders so she can get a good look at the concert.
A younger man where black clothes is doing a trick on his skateboard off of steps.,A young man where black clothes is doing a trick on his skateboard off of steps.
