pair_ID	sentence_A	sentence_B	entailment_label
1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	NEUTRAL
2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL
3	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	ENTAILMENT
4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	CONTRADICTION
5	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL
6	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL
7	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	NEUTRAL
8	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	NEUTRAL
9	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	NEUTRAL
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	ENTAILMENT
11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL
12	Two dogs are fighting	Two dogs are wrestling and hugging	NEUTRAL
13	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	CONTRADICTION
14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	NEUTRAL
15	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	NEUTRAL
16	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	NEUTRAL
17	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	NEUTRAL
18	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	NEUTRAL
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT
20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION
21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	NEUTRAL
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	ENTAILMENT
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION
24	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	NEUTRAL
25	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	NEUTRAL
26	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	NEUTRAL
27	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	NEUTRAL
28	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	NEUTRAL
29	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	NEUTRAL
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	ENTAILMENT
31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION
32	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	ENTAILMENT
33	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	ENTAILMENT
34	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION
35	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	NEUTRAL
36	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	NEUTRAL
37	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	NEUTRAL
38	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION
39	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	NEUTRAL
40	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	NEUTRAL
41	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	ENTAILMENT
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	CONTRADICTION
43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	NEUTRAL
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	ENTAILMENT
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	NEUTRAL
