,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
1994,1994,The girl is trying to known down pins.,The girl is trying to unknown down pins.,Two guys and 2 girls out running possibly in a marathon in a park.,Two guys and 2 girls out running impossibly in a marathon in a park.,neutral,opposite|from-possibly,two guys and 2 females out running in a race somewhere else.,0.2424856110533887,0
4507,4507,One person has decided to take a hike in the mountain.,One person has undecided to take a hike in the mountain.,A young man is participating in a competitive gun shooting event.,A young man is participating in a uncompetitive gun shooting event.,contradiction,opposite|from-competitive,a young male is engaged in controlled shooting video equipment.,1.605851637043843e-07,0
7416,7416,"Three men in black and yellow competitive sports clothing, carrying short field hockey sticks, with a man dressed in bulky goalie gear over his shins and hands.","Three men in black and yellow uncompetitive sports clothing, carrying short field hockey sticks, with a man dressed in bulky goalie gear over his shins and hands.",The match could be decided before it started.,The match could be undecided before it started.,neutral,opposite|from-decided,the match would be delayed if it were to be.,1.678445962518619e-07,0
9027,9027,The boy runs away from his mom after she tells him his dad has decided to be his other mom.,The boy runs away from his mom after she tells him his dad has undecided to be his other mom.,A group of fisherman have had a productive day.,A group of fisherman have had a unproductive day.,neutral,opposite|from-productive,a group of fisherman have at least a leisurely work.,0.4111336169005197,0
4498,4498,A competitive biker rides a bike across a wooden bridge over a stream.,A uncompetitive biker rides a bike across a wooden bridge over a stream.,"An oasis of earth, water and sky, possibly a beach vacation spot.","An oasis of earth, water and sky, impossibly a beach vacation spot.",neutral,opposite|from-possibly,"an out of dakota forest, where ocean level of ground, a body of water, and a sea of flowers can be seen.",7.305267243289862e-08,0
620,620,a family gathers for a nice meal in a comfortable home watching tv next to the fireplace.,a family gathers for a nice meal in a uncomfortable home watching tv next to the fireplace.,"When Jack was with his mother building a snowman, their dog decided to roll in the snow and mess up their creation.","When Jack was with his mother building a snowman, their dog undecided to roll in the snow and mess up their creation.",neutral,opposite|from-decided,mom was dragging his child in the snow with a bunch of mop and he wanted it was their first time fighting.,0.00010062635309,0
6034,6034,The man is having a pleasant talk with his friends.,The man is having a unpleasant talk with his friends.,"The three hikers decided to sit under a big oak tree after climbing down the side of the hill, and enjoy a quick snack.","The three hikers undecided to sit under a big oak tree after climbing down the side of the hill, and enjoy a quick snack.",contradiction,opposite|from-decided,"the three hikers fell asleep after the last large boulder was dug up by a tree, and will be peering down at a tree stump.",9.00911347430732e-05,0
2031,2031,"A man works on the wheel of a bicycle in a workshop, likely to repair a broken one.","A man works on the wheel of a bicycle in a workshop, unlikely to repair a broken one.",The dancer performs in the style known as ballet.,The dancer performs in the style unknown as ballet.,entailment,opposite|from-known,the dancer performs in the fashion always asian.,0.4562272070865922,0
3747,3747,A man is talking aboiut a certain topic with props.,A man is talking aboiut a uncertain topic with props.,"A young girl is fishing with some elderly people, possibly her grandparents.","A young girl is fishing with some elderly people, impossibly her grandparents.",contradiction,opposite|from-possibly,"a young girl is fishing with elderly locals, who have just <unk>.",0.4336189090348675,0
2683,2683,Kids are being informed on trucks,Kids are being uninformed on trucks,A pleasant young man working at a jewelry store.,A unpleasant young man working at a jewelry store.,entailment,opposite|from-pleasant,a very thin young man playing by a clothing & lingerie shop.,1.499110694671168e-07,0
1713,1713,"A group of people, possibly family, sitting on the floor playing a word game similar to scrabble.","A group of people, impossibly family, sitting on the floor playing a word game similar to scrabble.","An old, possibly homeless man is sitting at a table waiting to be fed.","An old, impossibly homeless man is sitting at a table waiting to be fed.",neutral,opposite|from-possibly,"an empty, old man who is sitting at a waiting table is hungry.",0.2193117251914054,0
27,27,The workers are making sure the tracks are safe.,The workers are making unsure the tracks are safe.,People in a crowd that seem to be listening to someone speak and possibly worshiping.,People in a crowd that seem to be listening to someone speak and impossibly worshiping.,entailment,opposite|from-possibly,some people in a crowd hear someone expressing wonder and possibly being listened to another person speaking.,0.1646702985584589,0
9756,9756,"Lisa gave Bob flowers, but Bob was not certain if this was a joke or true.","Lisa gave Bob flowers, but Bob was not uncertain if this was a joke or true.",A possible daredevil posed for the next move.,A impossible daredevil posed for the next move.,neutral,opposite|from-possible,a possibly posed duck tried for the next step.,0.0002398029676182,0
3378,3378,Adolescent girl waiting for possible portrait.,Adolescent girl waiting for impossible portrait.,A boy is aware of his appearance.,A boy is unaware of his appearance.,neutral,opposite|from-aware,a boy is aware of his appearance.,0.0004889230224349,0
7292,7292,Students only prefer certain activities at school.,Students only prefer uncertain activities at school.,They are practicing for a competitive event.,They are practicing for a uncompetitive event.,neutral,opposite|from-competitive,they are practicing for a competitive event.,0.6434588841607617,0
8028,8028,"Three men are working in a bike shop, surrounded by bicycle frames, one of the men is sitting down, possibly reading something, another man is checking his phone, and the third man is smiling, looking around at the shop.","Three men are working in a bike shop, surrounded by bicycle frames, one of the men is sitting down, impossibly reading something, another man is checking his phone, and the third man is smiling, looking around at the shop.",Cool guy decided to stand on his head in the park and his neck breaks while the ladies watching laugh at him.,Cool guy undecided to stand on his head in the park and his neck breaks while the ladies watching laugh at him.,contradiction,opposite|from-decided,little guy relaxes on his chair and his dog broke the eye of the contest standing in front of them.,9.79995974367508e-08,0
5634,5634,There were nearly no waves so a surf-skiier decided to just pack up and go home without getting into the water.,There were nearly no waves so a surf-skiier undecided to just pack up and go home without getting into the water.,Village people are watching a woman who seems to be checking her messages possibly on her cellphone.,Village people are watching a woman who seems to be checking her messages impossibly on her cellphone.,contradiction,opposite|from-possibly,local women watching a crowd are answering their questions which may be other than her assisting person.,9.672649511413088e-08,0
8321,8321,Two friends decided to go scuba diving,Two friends undecided to go scuba diving,A young child wearing a red jacket with black stripes is walking along and exploring an unusual landscape that is very uneven and possible made of tree roots and dried up mud and debris from where water once flowed.,A young child wearing a red jacket with black stripes is walking along and exploring an unusual landscape that is very uneven and impossible made of tree roots and dried up mud and debris from where water once flowed.,entailment,opposite|from-possible,a teenage child wearing orange clothing and a lightedcolored shirt with striped hay that seems to be falling apart and out of leaves lies through an open body of water is traversing down an open shallow gravel forest with trees and grass nearby visible through the leaves and a dry clearing of reflective water.,3.6852862062522726e-08,0
7151,7151,The woman is aware of everyone wearing red.,The woman is unaware of everyone wearing red.,Two older saxaphone players enjoy a pleasant conversation about the past,Two older saxaphone players enjoy a unpleasant conversation about the past,neutral,opposite|from-pleasant,two casually dressed older saxophones reminisce about a play during the evening,1.4323145079400475e-10,0
9577,9577,A white man hugging a black man possibly giving condolences.,A white man hugging a black man impossibly giving condolences.,Two monks are walking together possibly contemplating life.,Two monks are walking together impossibly contemplating life.,entailment,opposite|from-possibly,two monks are walking together deeply wishing to die.,0.4463236137853328,0
766,766,A tailor uses a long pole to search for a certain piece of fabric suspended above him.,A tailor uses a long pole to search for a uncertain piece of fabric suspended above him.,"Two people are hiding under giant bowls, possibly to avoid the sun.","Two people are hiding under giant bowls, impossibly to avoid the sun.",neutral,opposite|from-possibly,"two men are hiding under giant spiders, hoping to avoid the sun.",0.4366835442847812,0
5542,5542,The train worker checks to make sure that everything is okay before the train leaves the station.,The train worker checks to make unsure that everything is okay before the train leaves the station.,He is running as fast as he possibly can.,He is running as fast as he impossibly can.,contradiction,opposite|from-possibly,he is running as if he is rapidly avoiding.,0.3155984539112945,0
9569,9569,Everyone decided to stay inside today.,Everyone undecided to stay inside today.,"Two men on a cobblestone street, possibly hostile towards each other.","Two men on a cobblestone street, impossibly hostile towards each other.",entailment,opposite|from-possibly,"two unpaved men on a licorice-covered road, both against grey and against licorice.",0.0001350862565735,0
5255,5255,Someone decided to bungee jump.,Someone undecided to bungee jump.,A bald headed man in business casual attire is amused by something occurring off-screen- likely a comedic performance.,A bald headed man in business casual attire is amused by something occurring off-screen- unlikely a comedic performance.,neutral,opposite|from-likely,"a casually dressed male in dark tie-dressing clothing, otherwise non-advertising attire appears without facial expression at a business or entertaining himself.",6.96454179972734e-11,0
4171,4171,The man decided to pass his binoculars to his friend,The man undecided to pass his binoculars to his friend,The men aren't aware of the band in the background.,The men aren't unaware of the band in the background.,contradiction,opposite|from-aware,the men without vocals are silent outside of the band's.,0.0002086130724305,0
6224,6224,"A bald guy with a beard, and most likely drunk, eating a hotdog","A bald guy with a beard, and most unlikely drunk, eating a hotdog",The dog has been trained to behave a certain way while bathing.,The dog has been trained to behave a uncertain way while bathing.,neutral,opposite|from-certain,the dog has been trained to avoid a very unusual act and be swimming.,0.363622704650007,0
4843,4843,A crowd enjoying a beautiful day at a park possibly on a famous holiday.,A crowd enjoying a beautiful day at a park impossibly on a famous holiday.,"Five people sit inside some kind of public transportation, most likely a train.","Five people sit inside some kind of public transportation, most unlikely a train.",contradiction,opposite|from-likely,"five people sit inside what would be a vast, empty train station.",0.2158640436647829,0
2107,2107,"Here is a picture of a man, possibly homeless, sleeping on bench near a train station.","Here is a picture of a man, impossibly homeless, sleeping on bench near a train station.",A photo of a couple walking in what's possibly China.,A photo of a couple walking in what's impossibly China.,neutral,opposite|from-possibly,"a picture of a couple walking in las vegas, an indian landscape.",0.3318077402843942,0
5543,5543,this is a known park for bikers.,this is a unknown park for bikers.,A competitive skier is riding a gondola.,A uncompetitive skier is riding a gondola.,contradiction,opposite|from-competitive,a gliderelier is competing in a smaller skydiving.,2.055668084502597e-10,0
2617,2617,The person is a possible daredevil.,The person is a impossible daredevil.,A man got into a bike accident with a car and two firefighters are making sure he is alright.,A man got into a bike accident with a car and two firefighters are making unsure he is alright.,neutral,opposite|from-sure,a man got a car accident and broken down with doctors in a hospital fixing him up.,0.0001310842226235,0
1222,1222,Bluejeans are sturdy and comfortable when climbing poles.,Bluejeans are sturdy and uncomfortable when climbing poles.,"There are men watching, to make sure no one falls.","There are men watching, to make unsure no one falls.",neutral,opposite|from-sure,"there are men watching, trying to cut to what seems to be a drowning.",0.1879831764733508,0
7428,7428,A nurse is making sure a patient is well.,A nurse is making unsure a patient is well.,"Women on the street presenting to a crowd, possibly trying to start a riot.","Women on the street presenting to a crowd, impossibly trying to start a riot.",entailment,opposite|from-possibly,"women protesting on the street, attempting to form a stage of a megaphone.",0.0001564931816348,0
5517,5517,The man only runs certain marathons.,The man only runs uncertain marathons.,The metro worker is making sure all the bus passengers are safe.,The metro worker is making unsure all the bus passengers are safe.,entailment,opposite|from-sure,the bus pressure worker is helping clear huge gap is quitting.,1.627833136472153e-07,0
6363,6363,A prostitute eyes up her next possible move.,A prostitute eyes up her next impossible move.,The girl was happy she decided to stay on her couch all day watching The Bachelor instead of going out.,The girl was happy she undecided to stay on her couch all day watching The Bachelor instead of going out.,contradiction,opposite|from-decided,the girl was happy she just canceled her vacation and watched everyone stay on the couch alone all afternoon.,0.2315379203246236,0
