"Below the Rond-Point, the mood changes and a pleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.","Below the Rond-Point, the mood changes and a unpleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.",pleasant,unpleasant
"The mood changes below the Rond-Point, and a pleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.","The mood changes below the Rond-Point, and a unpleasant park leads you past two the Petit Palais, all steel and glass, and the Grand Palais.",pleasant,unpleasant
i think so i don't know i just uh i'm unhappy with it but and well i'm i'm sort of semi fortunate right now i'm a graduate student so i don't make that much what i make isn't taxed very highly because i'm still in school,i think so i don't know i just uh i'm unhappy with it but and well i'm i'm sort of semi unfortunate right now i'm a graduate student so i don't make that much what i make isn't taxed very highly because i'm still in school,fortunate,unfortunate
The public is not informed how the network works.,The public is not uninformed how the network works.,informed,uninformed
Not a pleasant prospect and not one easily avoided---not even by any reform package or proposal that I've seen.,Not a unpleasant prospect and not one easily avoided---not even by any reform package or proposal that I've seen.,pleasant,unpleasant
APHIS rejected the first alternative because it believed scientific evidence permitted importation of beef from Argentina under certain conditions and not permitting such importation would be contrary to trade agreements entered into by the United States.,APHIS rejected the first alternative because it believed scientific evidence permitted importation of beef from Argentina under uncertain conditions and not permitting such importation would be contrary to trade agreements entered into by the United States.,certain,uncertain
Moynihan most likely has nothing to do with it.,Moynihan most unlikely has nothing to do with it.,likely,unlikely
plant that emits 0.1 pounds of mercury and a plant that emits 2000 pounds of mercury - regardless of cost - is neither efficient nor necessary.,plant that emits 0.1 pounds of mercury and a plant that emits 2000 pounds of mercury - regardless of cost - is neither inefficient nor necessary.,efficient,inefficient
We are certain of what we are going to do if we stay here. ,We are uncertain of what we are going to do if we stay here.,certain,uncertain
"Insofar as the best Japanese corporations are not the global hegemons we once thought they would be, it may be because everyone else has learned from them, which is of course exactly how competitive markets are supposed to work.","Insofar as the best Japanese corporations are not the global hegemons we once thought they would be, it may be because everyone else has learned from them, which is of course exactly how uncompetitive markets are supposed to work.",competitive,uncompetitive
It assumes for cost-of-service areas (where most of power sales are likely to occur) that allowance allocations will not alter pricing of electricity.,It assumes for cost-of-service areas (where most of power sales are unlikely to occur) that allowance allocations will not alter pricing of electricity.,likely,unlikely
you're very fortunate well i ran into a problem with my car uh course we have a little colder weather up here and i had set the emergency brake after we'd had a freezing rain apparently,you're very unfortunate well i ran into a problem with my car uh course we have a little colder weather up here and i had set the emergency brake after we'd had a freezing rain apparently,fortunate,unfortunate
"For that, they'll need to sign certain contracts.'","For that, they'll need to sign uncertain contracts.'",certain,uncertain
"For certain types of work to be performed at an agency, GAO may initially provide only telephone or e-mail message notification.","For uncertain types of work to be performed at an agency, GAO may initially provide only telephone or e-mail message notification.",certain,uncertain
"I had a slew of comfortable rooms with cushions everywhere, and a fridge forever stocked with fatty foods.","I had a slew of uncomfortable rooms with cushions everywhere, and a fridge forever stocked with fatty foods.",comfortable,uncomfortable
"The value of Philly's program, observes former New Jersey Superior Court Judge Daniel R. Coburn, is that it separates the minnows from the sharks, then holds the minnows accountable and hence less likely to become sharks, let alone become the predatory Great Whites we must incarcerate.","The value of Philly's program, observes former New Jersey Superior Court Judge Daniel R. Coburn, is that it separates the minnows from the sharks, then holds the minnows accountable and hence less unlikely to become sharks, let alone become the predatory Great Whites we must incarcerate.",likely,unlikely
yeah we do that too we're fortunate though this year somehow how it's only March and we've already used up our entire amount i don't know if that's good or bad,yeah we do that too we're unfortunate though this year somehow how it's only March and we've already used up our entire amount i don't know if that's good or bad,fortunate,unfortunate
yeah i just wish it was a little more convenient convenient to do you know,yeah i just wish it was a little more inconvenient convenient to do you know,convenient,inconvenient
