,Unnamed: 0,a,b,c,d,category,subcategory,pred_0,score_0_bleu,score_0_exact
1045,1045,Woman in white in foreground and two hundred men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,two men in skiing gear are airborne.,A man in skiing gear is airborne.,contradiction,plural|from-single,two men in ski gear are airborne.,2.444615112174505e-10,0
2463,2463,A dog is preparing to run away from a person interacting with it.,some dogs are preparing to run away from a person interacting with it.,A man in red is skiing down a snow slope.,some men in red are skiing down a snow slope.,entailment,plural|to-some|indefinite,some men in red are skiing down a snow slope.,1.0,1
6339,6339,A farmer fertilizing his garden with manure with a horse and wagon.,A farmer fertilizing his garden with manure with two hundred horses and wagon.,A man is kneeling in front of a payment machine.,two hundred men are kneeling in front of a payment machine.,entailment,plural|to-two hundred|indefinite,a man is kneeling in front of a cash register.,0.355433394487517,0
5762,5762,Woman in white in foreground and one hundred men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,six men on a city street takes a picture while a taxi and bus drive by.,A man on a city street takes a picture while a taxi and bus drive by.,contradiction,plural|from-single,six men on a street car take a picture while a taxi driver looks on and a man is driving by.,0.2341812326184746,0
634,634,Woman in white in foreground and four men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,"three men wearing a black t-shirt, black pants, a black hat and wearing black shoes are picking up trash in an empty lot and putting it into a black trash bag.","A man wearing a black t-shirt, black pants, a black hat and wearing black shoes is picking up trash in an empty lot and putting it into a black trash bag.",contradiction,plural|from-single,"a man wearing black pants and a black hat, getting bags of dirt, walking in a shoe hard to get into a <unk> place called a tanne.",0.0001198038714084,0
2517,2517, women in a green jacket and hood over her head looking towards a valley.,A woman in a green jacket and hood over her head looking towards a valley.,two hundred men taking a picture with a silver camera.,A man taking a picture with a silver camera.,neutral,plural|from-single,a single man taking a picture of silver with a telescope.,0.2998221389342337,0
5081,5081,A man in a kitchen is frying breaded food in a cast iron pan.,ten men in a kitchen are frying breaded food in a cast iron pan.,"A man carries two grocery bags, a sign of a funny man is by the pole near him.","ten men carries two grocery bags, a sign of a funny man are by the pole near him.",contradiction,plural|to-ten|indefinite,"five funny men hold a stick, two of which are by a taxi stop signs and a man walks by the street.",1.0331208012220445e-07,0
561,561,"three women are walking across the street eating a banana, while five men are following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",three men and woman are having a conversation on a park bench.,A man and woman are having a conversation on a park bench.,neutral,plural|from-single,a man and woman are having a conversation on a park bench.,1.0,1
842,842,nine women in a green jacket and hood over her head looking towards a valley.,A woman in a green jacket and hood over her head looking towards a valley.,four children looks nervous at the top of a slide.,A child looks nervous at the top of a slide.,entailment,plural|from-single,a child looks nervous at the top of a slide.,1.0,1
46,46,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,three men with a red shirt are watching another man who is standing on top of a attached cart filled to the top.,One man in shorts is talking to another man in blue jeans in front of a sink.,three men in shorts are talking to another man in blue jeans in front of a sink.,contradiction,plural|to-three|indefinite,three men in blue shorts are talking to one another in front of a sink boat.,0.46040080324036,0
2325,2325,"twenty women are walking across the street eating a banana, while twenty two men are following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",A lone cyclist rides down two hundred roads next to an old stone wall.,A lone cyclist rides down a road next to an old stone wall.,entailment,plural|from-single,a cyclist walks down a side of an old road beside stone.,1.7625225359752865e-07,0
5260,5260,"twenty two women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",six women at the checkout aisle at Walmart with a cart full of Tidy Cats brand cat litter.,A woman at the checkout aisle at Walmart with a cart full of Tidy Cats brand cat litter.,neutral,plural|from-single,a woman at the supermarket shopping cart with bagged cat sweeps through a selection of tulips at the bottom of the grocery store.,0.1296247288049187,0
2586,2586,"twenty women are walking across the street eating a banana, while six men are following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.",some women taking pictures of the surf and three children in the foreground.,A woman taking pictures of the surf and a child in the foreground.,contradiction,plural|from-single,a woman taking pictures of the beach and a other in the foreground.,0.5266403878479267,0
9695,9695,A man in a kitchen is frying breaded food in a cast iron pan.,ten men in a kitchen are frying breaded food in a cast iron pan.,"A woman wearing glasses is sitting on a swing, in a playground with a lot of trees.","ten women wearing glasses are sitting on a swing, in a playground with a lot of trees.",contradiction,plural|to-ten|indefinite,"five ladies wearing glasses are sitting on a bench on a park, with many people in the background.",0.2928298013714698,0
1687,1687,twenty two men and a woman cross the street in front of a pizza and gyro restaurant.,A man and a woman cross the street in front of a pizza and gyro restaurant., women with glasses drinking from a shot glass,A woman with glasses drinking from a shot glass,neutral,plural|from-single,a woman with drinks drinking from a camera stand,0.000354948105601,0
9998,9998,"Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.","Outside by the trees, twenty two women wearing jeans and red jacket throws something for a German shepherd to chase.",A woman holding up a mug of beer.,twenty two women holding up a mug of beer.,entailment,plural|to-twenty two|indefinite,three woman holding up a beer of mug.,0.0002565554122209,0
5028,5028,A man in a Tour De Force shirt is working on a bicycle.,many men in a Tour De Force shirt are working on a bicycle.,A man riding a dirt bike up a muddy hill.,many men riding a dirt bike up a muddy hill.,neutral,plural|to-many|indefinite,men riding a dirt bike up a steep hill.,0.6716877364745231,0
1147,1147,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""","A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying  children in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",Three young children riding on a donkey drawn cart.,Three young children riding on  donkeys drawn cart.,entailment,plural|to-various|indefinite,three young children riding on a donkey drawn cart.,0.5133450480401704,0
9525,9525,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.","some men and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man walks down the road leading a cow with no rider and another cow with a rider.,some men walk down the road leading a cow with no rider and another cow with a rider.,entailment,plural|to-some|indefinite,an men stop by a cow and the road leading down with a stall with some rider wearing a white helmet.,0.0001379373844809,0
2688,2688,A man with khaki shorts on is holding a little girls hand while she walks in the water of a creek.,two hundred men with khaki shorts on are holding a little girls hand while she walks in the water of a creek.,A man wearing white winds up to throw.,two hundred men wearing white winds up to throw.,contradiction,plural|to-two hundred|indefinite,four people white pouring forth fire to themselves.,1.6392431149564624e-10,0
8021,8021,A car sinking in water.,twenty two cars sinking in water.,A man in a black sweater with a red undershirt playing a trumpet in front of a lighted Christmas tree.,twenty two men in a black sweater with a red undershirt playing a trumpet in front of a lighted Christmas tree.,neutral,plural|to-twenty two|indefinite,five of two young black men in a yell red one-shirted sweatshirt wearing white tops on one of which is a trumpet singing a pamphlet for a paper.,8.72278563365955e-05,0
8120,8120,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","twenty two men with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man standing near a mountain range,twenty two men standing near a mountain range,neutral,plural|to-twenty two|indefinite,five mountain men standing near a mountain range,0.6803749333171202,0
2316,2316,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,some men with a red shirt are watching another man who is standing on top of a attached cart filled to the top.,A girl in a yellow shirt and green skirt leans on a car while a man in a suit and a girl in a dress converse.,A girl in a yellow shirt and green skirt leans on ten cars while some men in a suit and a girl in a dress converse.,entailment,plural|to-some|indefinite,"some girls in skirts and a green shirt raise a lady while in a car, a man on a bicycle looks on as a man sits in a car smiling.",8.939270118279463e-08,0
6199,6199,A man walking proudly down the street.,twenty men walking proudly down the street.,Two people on cellphones walk down the sidewalk while a vendor stands there and a man is eating.,Two people on cellphones walk down the sidewalk while a vendor stands there and twenty men are eating.,entailment,plural|to-twenty|indefinite,five people on bicycles sit in an empty sidewalk while both men are on the phone and a woman covers the line.,1.1136136561010305e-07,0
8172,8172,"three women are walking across the street eating a banana, while a man is following with his briefcase.","A woman is walking across the street eating a banana, while a man is following with his briefcase.","three men dressed in a white shirt, blue baseball cap while wearing gloves, holding a red and white checkered food wrapping.","A man dressed in a white shirt, blue baseball cap while wearing gloves, holding a red and white checkered food wrapping.",neutral,plural|from-single,"a man wearing a white shirt, red outfit, and baseball cap, holding a cold, fedora while dressed in orange gloves.",0.0001612414995279,0
6118,6118,Woman in white in foreground and four men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,"twenty children wears three ""rock out hands"" held together by sunglasses on his head.","A child wears three ""rock out hands"" held together by sunglasses on his head.",neutral,plural|from-single,six young adults hold up a piece of ice from <unk> as they wear sunglasses.,8.839374326825921e-11,0
8196,8196,A man is singing into a microphone.,twenty two men are singing into a microphone.,A man is cleaning his boat in the driveway.,twenty two men are cleaning his boat in the driveway.,neutral,plural|to-twenty two|indefinite,five old men are cleaning their dock in the boat.,0.0002444615112174,0
7877,7877,A man holding a green bowling ball stands by the ball return machine in a bowling alley.,three men holding a green bowling ball stands by the ball return machine in a bowling alley.,A man snowboards over an upturned garbage can in the woods.,three men snowboards over an upturned garbage can in the woods.,entailment,plural|to-three|indefinite,three men snowmapped over an overgrown snowbank near the lumberjack.,1.9096901924113057e-07,0
7528,7528,Woman in white in foreground and two hundred men slightly behind walking with a sign for John's Pizza and Gyro in the background.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,one hundred men on Rollerblades travelling down the sidewalk.,A man on Rollerblades travelling down the sidewalk.,entailment,plural|from-single,five man on rollerblading slipping down the street.,2.6269098944241613e-07,0
